id,label,claim,evidence,text
2663,refutes,天衛三軌道在天王星內部的磁層，以《仲夏夜之夢》作者緹坦妮雅命名。,"[[[4209, 4331, '天衛三', 2]]]",['1787年由威廉· 赫歇爾發現，並以威廉· 莎士比亞的《仲夏夜之夢》中的妖精王后緹坦妮雅命名。']
2399,refutes,信天翁科的活動範圍位於北冰洋以及南太平洋，牠的翼展可達到3.7米，是世界上現存的翼展最大的鳥類。,"[[[2719, 2928, '信天翁科', 2]]]",['信天翁的活動範圍位於南冰洋以及北太平洋。']
8075,NOT ENOUGH INFO,F.I.R.的團員有主唱Faye飛（詹雯婷）、吉他手Real阿沁（黃漢青）、鍵盤手Ian（陳建寧），是亞洲樂壇不常見的一女二男三人組合樂團。,"[[7208, None, None, None]]",[]
8931,NOT ENOUGH INFO,香港國際機場全年24小時運作，它從2001年起一直躋身世界最佳機場，並8度獲評級爲全宇宙最佳機場。,"[[8162, None, None, None]]",[]
332,NOT ENOUGH INFO,北理工是歷史上最後一批副部級高校，黨委書記和校長列入中央管理的高校，簡稱中管高校，俗稱“ 副部級高校” ，爲中華人民共和國中央部屬高校中31所普通高等學校的統稱。,"[[204, None, None, None]]",[]
2177,refutes,南京大學附屬中學，從中國江蘇省遷移。,"[[[2654, 2877, '南大附中', 2]]]",['南京大學附屬中學，位於中國江蘇省南京市。']
7551,supports,毒魚豆的萃取物被西印度群島的原住民發掘可以導致魚麻醉安靜，讓他們得以趁機徒手抓魚。,"[[[6825, 6546, '毒魚豆', 4]]]",['西印度群島的原住民發現這種植物的提取物可以令魚麻醉安靜，讓他們可以徒手抓魚。']
4688,supports,軟件開發是一項包括需求獲取、開發規劃、需求分析和設計、編程實現、軟件測試、版本控制的系統工程，其中包含任何最終獲得軟件產品的活動。,"[[[4631, 4702, '軟件開發', 1], [4631, 4702, '軟件開發', 2]]]","['軟件開發是一項包括需求獲取、開發規劃、需求分析和設計、編程實現、軟件測試、版本控制的系統工程。', '換句話說，軟件開發就是一系列最終構建出軟件產品的活動。']"
8496,supports,國立臺灣大學應用力學研究所從1984年開始招收碩、博士班研究生，首任所長爲理論及應用力學專家，美國國家工程院院士、中央研究院院士鮑亦興教授。,"[[[7667, 7249, '國立臺灣大學應用力學研究所', 3]]]",['於1984年招收第一屆碩、博士班研究生，首任所長爲理論及應用力學專家，美國國家工程院院士、中央研究院院士鮑亦興教授。']
873,supports,威廉·倫琴拒絕定名新電子波爲倫琴射線，堅持稱作X射線。,"[[[599, 594, '威廉·倫琴', 4]]]",['有人提議將他發現的新射線定名爲“ 倫琴射線” ，倫琴卻堅持用“X射線” 這一名稱，產生X射線的機器叫做X射線機。']
